"(PDH-CSV 4.0) (RTZ 2 (","\\WIN-VJN76N11MDK\Процессор(_Total)\% загруженности процессора","\\WIN-VJN76N11MDK\Память\% использования выделенной памяти","\\WIN-VJN76N11MDK\Физический диск(_Total)\Средняя длина очереди диска"
"04/05/2026 08:01:07.672"," ","74.58596841306098213"," "
"04/05/2026 08:01:12.682","17.199859238637994707","74.565565417186718378","0.00067338875154966931075"
"04/05/2026 08:01:17.699","29.613903082435655278","74.530944292091518832","0.0006398482399010925253"
"04/05/2026 08:01:22.716","20.144786586422235075","74.491844483300070578","0.029371037649688954557"
"04/05/2026 08:01:27.733","23.827357782605151471","74.486370495168102934","0.0016866274173040634882"
"04/05/2026 08:01:32.744","42.622692192377357401","75.015142274791173804","0.017270010845009682587"
"04/05/2026 08:01:37.846","60.965129799595388249","75.546544412045406602","0.027794208957859417586"
"04/05/2026 08:01:42.978","100","76.405460894202221311","0.16305192659780470832"
"04/05/2026 08:01:48.559","100","76.452451752604090984","0.31868366223290889305"
"04/05/2026 08:01:54.097","100","76.448470697842651589","0.36132965365841229755"
"04/05/2026 08:01:59.113","100","76.466030063216123835","0.43008133139501009135"
"04/05/2026 08:02:04.610","100","76.554182399193337005","0.37167810439112669574"
"04/05/2026 08:02:10.995","100","76.651860861259478952","0.38581179607107513041"
"04/05/2026 08:02:16.245","100","76.785368979160068648","0.34214005935635982691"
"04/05/2026 08:02:22.283","100","76.759847457697588879","0.40882379087237719073"
"04/05/2026 08:02:29.096","100","76.762691088198380385","0.35594004784292038179"
"04/05/2026 08:02:34.147","100","76.808117953317264437","0.34220803035301111672"
"04/05/2026 08:02:40.592","100","76.746482419955185605","0.38749617034961364448"
"04/05/2026 08:02:45.631","100","76.722524891775691458","0.86780635870248179486"
"04/05/2026 08:02:52.580","100","76.903450437100474346","0.32941194580904287204"
"04/05/2026 08:02:58.269","100","76.861293724938590799","0.31447532196696253992"
"04/05/2026 08:03:05.184","100","76.883473986965483959","0.34176623226993052551"
"04/05/2026 08:03:12.148","100","76.844658534239201231","0.28905647072475409987"
"04/05/2026 08:03:19.167","100","76.821340824668610026","0.34789073500662726079"
"04/05/2026 08:03:26.506","100","76.970062329659711509","0.37251339954170986646"
"04/05/2026 08:03:31.559","100","77.08181673127269562","0.33633392804252931763"
"04/05/2026 08:03:36.859","100","77.302126441454078076","0.60248478281102424425"
